Tempo(s),Tensao_Drone(N),Tensao_Rover(N),PosRoverX(m),PosRoverY(m),PosRoverZ(m),PosDroneX(m),PosDroneY(m),PosDroneZ(m),Angulo_EixoX(graus),Angulo_EixoY(graus),Angulo_EixoZ(graus)
0.000,1.9670,112.1863,-0.5032,0.0006,0.3073,0.0914,0.0920,1.9905,0.0000,0.0000,0.0000
0.050,2.7887,4.9047,-0.5093,0.0009,0.3056,0.0896,0.0919,1.9720,-9.1588,-0.6068,9.1782
0.100,7.0888,4.8452,-0.5155,0.0011,0.3040,0.0924,0.0921,1.9577,-19.1790,0.4511,19.1835
0.150,13.1882,1.6215,-0.5215,0.0011,0.3025,0.1054,0.0922,1.9471,-22.3879,0.5562,22.3935
0.200,13.0934,1.0392,-0.5274,0.0011,0.3012,0.1294,0.0923,1.9372,-20.9323,0.4529,20.9364
0.250,9.2566,1.5859,-0.5332,0.0011,0.3001,0.1634,0.0924,1.9260,-16.2089,0.4012,16.2134
0.300,5.2716,2.1271,-0.5391,0.0012,0.2991,0.2059,0.0924,1.9128,-5.9737,0.3039,5.9813
0.350,3.9083,3.2409,-0.5450,0.0013,0.2982,0.2555,0.0924,1.8973,-4.0598,0.1511,4.0626
0.400,5.4827,2.4784,-0.5509,0.0014,0.2975,0.3109,0.0923,1.8800,-6.1160,0.1411,6.1176
0.450,7.5678,6.9150,-0.5568,0.0015,0.2969,0.3709,0.0922,1.8610,8.2087,0.2372,8.2120
0.500,9.3765,3.1007,-0.5626,0.0017,0.2964,0.4343,0.0921,1.8409,34.6866,-0.2616,34.6872
0.550,10.9306,2.4906,-0.5684,0.0018,0.2959,0.5000,0.0920,1.8196,47.0371,1.2570,47.0431
0.600,10.3913,2.9521,-0.5743,0.0020,0.2955,0.5670,0.0919,1.7975,48.3097,-3.5958,48.3542
0.650,8.8047,2.6848,-0.5801,0.0022,0.2952,0.6344,0.0918,1.7746,47.3204,2.7383,47.3481
0.700,6.7543,2.4772,-0.5859,0.0023,0.2949,0.7012,0.0917,1.7509,42.7824,4.7153,42.8954
0.750,5.2749,2.5855,-0.5918,0.0025,0.2947,0.7667,0.0916,1.7265,34.8145,0.3199,34.8154
0.800,5.1930,2.2259,-0.5976,0.0026,0.2945,0.8302,0.0914,1.7014,25.2645,-2.6772,25.3726
0.850,5.7330,5.2100,-0.6034,0.0028,0.2943,0.8912,0.0913,1.6756,23.2287,-4.8594,23.6310
0.900,6.3970,8.2793,-0.6090,0.0030,0.2941,0.9490,0.0911,1.6493,23.8571,0.6294,23.8637
0.950,9.1852,12.2074,-0.6147,0.0032,0.2940,1.0035,0.0910,1.6224,20.3320,0.5844,20.3390
1.000,14.1607,14.1601,-0.6204,0.0034,0.2939,1.0541,0.0908,1.5951,25.1610,3.3333,25.3296
1.050,15.4744,13.0173,-0.6260,0.0036,0.2938,1.1008,0.0906,1.5674,31.0841,3.0944,31.1856
1.100,14.0569,10.5589,-0.6317,0.0037,0.2937,1.1433,0.0905,1.5395,34.3141,-7.7298,34.8334
1.150,13.8486,8.0354,-0.6374,0.0039,0.2936,1.1817,0.0903,1.5113,52.8703,-4.0733,52.9103
1.200,14.6555,6.1522,-0.6431,0.0041,0.2936,1.2158,0.0901,1.4831,67.6300,-1.4308,67.6310
1.250,12.8440,5.6074,-0.6489,0.0042,0.2936,1.2456,0.0899,1.4549,71.9990,-0.8728,71.9992
1.300,9.8523,6.9342,-0.6546,0.0044,0.2935,1.2714,0.0898,1.4269,69.6348,-2.0358,69.6364
1.350,8.1801,8.2913,-0.6602,0.0045,0.2935,1.2931,0.0896,1.3992,66.1677,-2.1672,66.1707
1.400,8.1654,9.2266,-0.6659,0.0047,0.2935,1.3108,0.0894,1.3719,64.5536,-1.7641,64.5560
1.450,9.5966,5.5784,-0.6716,0.0049,0.2935,1.3249,0.0893,1.3451,64.8576,-1.6542,64.8596
1.500,11.2420,3.0323,-0.6775,0.0051,0.2935,1.3354,0.0891,1.3188,65.1401,-1.5537,65.1418
1.550,10.0982,6.0010,-0.6832,0.0053,0.2934,1.3426,0.0890,1.2933,63.5502,-0.4138,63.5504
1.600,6.3218,10.1969,-0.6889,0.0055,0.2934,1.3466,0.0889,1.2686,58.9679,1.1739,58.9699
1.650,5.9306,13.3067,-0.6947,0.0057,0.2934,1.3478,0.0887,1.2447,52.3280,0.8926,52.3300
1.700,9.9515,13.9184,-0.7004,0.0060,0.2933,1.3462,0.0886,1.2219,46.3228,0.0816,46.3228
1.750,14.5320,12.1376,-0.7062,0.0063,0.2933,1.3423,0.0885,1.2000,39.8237,-0.5538,39.8256
1.800,15.9338,11.1163,-0.7120,0.0066,0.2933,1.3362,0.0884,1.1793,42.5498,1.6198,42.5633
1.850,14.5718,11.1900,-0.7178,0.0069,0.2932,1.3281,0.0884,1.1597,48.5307,-1.2305,48.5359
1.900,12.1797,10.7782,-0.7236,0.0071,0.2932,1.3183,0.0883,1.1413,53.5617,6.3791,53.6546
1.950,9.4782,9.3676,-0.7294,0.0074,0.2932,1.3070,0.0882,1.1242,52.8456,0.2270,52.8457
2.000,8.0121,7.6071,-0.7353,0.0077,0.2932,1.2944,0.0882,1.1084,54.2340,-4.2690,54.2732
2.050,7.2942,6.0962,-0.7411,0.0079,0.2932,1.2808,0.0882,1.0939,57.2665,-5.4028,57.3145
2.100,6.6408,5.1536,-0.7470,0.0081,0.2932,1.2664,0.0881,1.0807,59.6844,-4.4424,59.7101
2.150,5.9190,4.6478,-0.7529,0.0084,0.2932,1.2513,0.0881,1.0689,59.8646,-2.9261,59.8755
2.200,5.3903,4.4488,-0.7587,0.0086,0.2932,1.2358,0.0881,1.0585,57.5680,-1.9548,57.5741
2.250,5.3667,4.5774,-0.7645,0.0088,0.2933,1.2200,0.0882,1.0495,53.6565,-1.4598,53.6613
2.300,5.9127,5.1582,-0.7702,0.0090,0.2933,1.2041,0.0882,1.0419,49.2658,-1.2079,49.2705
2.350,6.9437,6.3865,-0.7760,0.0092,0.2933,1.1882,0.0882,1.0356,45.2680,-1.1315,45.2734
2.400,8.2958,8.3157,-0.7817,0.0094,0.2933,1.1725,0.0882,1.0308,42.0520,-1.1326,42.0589
2.450,9.7945,9.9608,-0.7875,0.0096,0.2933,1.1572,0.0883,1.0273,39.9945,-1.1004,40.0019
2.500,11.1689,10.7586,-0.7932,0.0098,0.2933,1.1422,0.0883,1.0252,39.6792,-0.8561,39.6838
2.550,11.8986,10.7858,-0.7990,0.0100,0.2933,1.1278,0.0884,1.0245,39.8364,-0.3329,39.8371
2.600,11.4039,9.7812,-0.8048,0.0102,0.2933,1.1140,0.0884,1.0250,40.7545,0.4374,40.7556
2.650,9.8137,8.2644,-0.8106,0.0104,0.2933,1.1010,0.0885,1.0270,41.5408,-0.0411,41.5408
2.700,7.8781,6.9051,-0.8165,0.0106,0.2933,1.0887,0.0885,1.0302,41.6821,0.6257,41.6842
2.750,6.3336,5.8857,-0.8223,0.0108,0.2932,1.0772,0.0886,1.0347,40.9946,0.4587,40.9958
2.800,5.3800,5.1525,-0.8282,0.0109,0.2932,1.0666,0.0886,1.0405,40.1967,-1.0489,40.2033
